Product Name,Brand,Current Price,Original Price,Product Link
Ready to Wear Lehenga Blouse With Dupatta,Sangria,1239,3999,https://www.myntra.com/lehenga-choli/sangria/sangria-printed-ready-to-wear-lehenga--blouse-with-dupatta/28176282/buy
Cotton A Line Kurta,Pannkh,792,1299,https://www.myntra.com/kurtas/pannkh/pannkh-notched-neck-beads-and-stones-cotton-a-line-kurta/29829228/buy
Sleeveless Saree Blouse,Soch,798,998,https://www.myntra.com/saree-blouse/soch/soch-sleeveless-saree-blouse/21898296/buy
Unstitched Dress Material,Sangria,692,3149,https://www.myntra.com/dress-material/sangria/sangria-embroidered-unstitched-kurta--trouser-with-dupatta-dress-material/25218906/buy
Chanderi Lehenga & Crop Top,Shae by SASSAFRAS,1439,4499,https://www.myntra.com/lehenga-choli/shae+by+sassafras/shae-by-sassafras-women-chanderi-printed-lehenga--crop-top/19798068/buy
Mandarin Collar Cotton Tunic,MEESAN,584,1298,https://www.myntra.com/tunics/meesan/meesan-ethnic-printed-mandarin-collar-cotton-tunic/24216616/buy
Unstitched Dress Material,Sun Fashion And Lifestyle,900,2599,https://www.myntra.com/dress-material/sun+fashion+and+lifestyle/sun-fashion-and-lifestyle-printed-unstitched-dress-material/28471060/buy
Puff Sleeves Straight Kurta,Sangria,339,999,https://www.myntra.com/kurtas/sangria/sangria-puff-sleeves-straight-kurta/27092494/buy
Dupatta,Dupatta Bazaar,341,899,https://www.myntra.com/dupatta/dupatta+bazaar/dupatta-bazaar-black-linen-dupatta/18207362/buy
Embroidered Dress Material,TAVAS,951,5599,https://www.myntra.com/dress-material/tavas/tavas-embroidered-unstitched-dress-material/27508264/buy
Ready To Wear Lehenga Choli,indo street,1247,3899,https://www.myntra.com/lehenga-choli/indo+street/indo-street-floral-printed-ready-to-wear-top-with-lehenga/27024840/buy
Embroidered Dupatta,Studio Shringaar,399,699,https://www.myntra.com/dupatta/studio+shringaar/studio-shringaar-gold-toned-embroidered-dupatta/17044786/buy
Women Palazzos,QOMN,699,1399,https://www.myntra.com/palazzos/qomn/qomn-women-white-cropped-ethnic-palazzos/16238448/buy
Sleeveless Saree Blouse,Soch,798,998,https://www.myntra.com/saree-blouse/soch/soch-sleeveless-saree-blouse/21898282/buy
Women Ethnic Motifs Printed Kurta,anayna,539,1799,https://www.myntra.com/kurtas/anayna/anayna-ethnic-motifs-printed-kurta/22143838/buy
Shirt Collar Printed Tunic,Nayam By Lakshita,923,2495,https://www.myntra.com/tunics/nayam+by+lakshita/nayam-by-lakshita-shirt-collar-printed-cotton-cambric-tunic/23790776/buy
Ready to Wear Lehenga Choli,Kinjo,1869,3399,https://www.myntra.com/lehenga-choli/kinjo/kinjo-embroidered-thread-work-ready-to-wear-lehenga--blouse-with-dupatta/27370864/buy
Stretchable Saree Blouse,SALWAR STUDIO,685,1055,https://www.myntra.com/saree-blouse/salwar+studio/salwar-studio-womens-white-readymade-stretchable-saree-blouse/13603944/buy
Embroidered Chiffon Dupatta,Dupatta Bazaar,440,899,https://www.myntra.com/dupatta/dupatta+bazaar/dupatta-bazaar-embroidered-chiffon-dupatta-/20195798/buy
Embroidered Regular Kurta,KALINI,798,2959,https://www.myntra.com/kurtas/kalini/kalini-floral-embroidered-thread-work-regular-kurta/24431446/buy
Printed Tunic,Nayo,662,1299,https://www.myntra.com/tunics/nayo/nayo-off-white--blue-printed-tunic/17116258/buy
Sleeveless Saree Blouse,Soch,798,998,https://www.myntra.com/saree-blouse/soch/soch-sleeveless-saree-blouse/21898286/buy
Floral Print Cotton Kurta,HERE&NOW,367,1599,https://www.myntra.com/kurtas/here%26now/herenow-floral-print-pure-cotton-straight-kurta/27631718/buy
Women Cable Knit Cardigan,Kalt,1300,2500,https://www.myntra.com/sweaters/kalt/kalt-women-teal--round-neck-cable-knit-cardigan/18989528/buy
Printed Cotton Saree Blouse,Studio Shringaar,799,1295,https://www.myntra.com/saree-blouse/studio+shringaar/studio-shringaar-printed-pure-cotton-saree-blouse/29130306/buy
Embroidered Tunic,Sangria,799,1999,https://www.myntra.com/tunics/sangria/sangria-black--red-embroidered-tunic/8349555/buy
Printed Chikankari Kurta,KALINI,831,3197,https://www.myntra.com/kurtas/kalini/kalini-round-neck-floral-printed-chikankari-cotton-kurta/28937588/buy
Floral Printed Straight Kurta,CRENOL THREADS,699,2499,https://www.myntra.com/kurtas/crenol+threads/crenol-threads-floral-printed-lace-work-pure-cotton-straight-kurta/29685796/buy
Tie-Up Neck Striagth Kurta,R&B,539,599,https://www.myntra.com/kurtas/r%26b/rb-abstract-printed-tie-up-neck-striagth-kurta/29997640/buy
Women Palazzos,Pistaa,749,2799,https://www.myntra.com/palazzos/pistaa/pistaa-women-ethnic-palazzos/21224844/buy
Sleeveless Saree Blouse,Soch,898,998,https://www.myntra.com/saree-blouse/soch/soch-sleeveless-saree-blouse/21898288/buy
Stretchable Saree Blouse,SALWAR STUDIO,570,760,https://www.myntra.com/saree-blouse/salwar+studio/salwar-studio-round-neck-stretchable-saree-blouse/26320672/buy
Floral Print Night Suit,ETC,736,3349,https://www.myntra.com/night-suits/etc/etc-women-floral-printed-pure-cotton-night-suit/22508216/buy
Ethnic Motifs Yoke Design Pure Cotton Kurti,Sangria,543,1599,https://www.myntra.com/kurtis/sangria/sangria-ethnic-motifs-yoke-design-pure-cotton-kurti/22900670/buy
Women Floral Cotton Tunic,Rain & Rainbow,897,1795,https://www.myntra.com/tunics/rain+%26+rainbow/rain--rainbow-women-green--pink-floral-print-pleated-cotton-tunic/13938784/buy
Sleeveless Saree Blouse,Soch,798,998,https://www.myntra.com/saree-blouse/soch/soch-sleeveless-saree-blouse/21898278/buy
Women Embroidered Palazzos,Readiprint Fashions,943,2300,https://www.myntra.com/palazzos/readiprint+fashions/readiprint-fashions-women-paisley-embroidered-ethnic-palazzos/25010376/buy
Kurta With Trousers & Dupatta,KALINI,738,4345,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-motifs-yoke-design-gotta-patti-kurta-with-trousers--dupatta/25260156/buy
Kurta With Trousers & Dupatta,anayna,1467,4890,https://www.myntra.com/kurta-sets/anayna/anayna--anarkali-pure-cotton-kurta-with-trousers--dupatta/23158876/buy
Floral Printed Kurta,KALINI,799,3197,https://www.myntra.com/kurtas/kalini/kalini-floral-printed-notch-neck-chikankari-thread-work--kurta/30007798/buy
Women Straight Embroidered Palazzos,Clora Creation,699,999,https://www.myntra.com/palazzos/clora+creation/clora-creation-women-white-embroidered-straight-palazzos/9791977/buy
Women Pack Of 2 Solid Palazzos,TAG 7,841,2550,https://www.myntra.com/palazzos/tag+7/tag-7-women-pack-of-2-white--black-solid-flared-palazzos/11169314/buy
Unstitched Dress Material,Sun Fashion And Lifestyle,900,2599,https://www.myntra.com/dress-material/sun+fashion+and+lifestyle/sun-fashion-and-lifestyle-printed-unstitched-dress-material/28471054/buy
